ID,From_Varient,To_Varient,WO,Updated_by,Updated_dt,Approved_by,Approved_dt
206,H&S CM 2IN1,H&S SS 2IN1,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
207,H&S CM 2IN1,PTN AD (Colossus),0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
208,H&S CM 2IN1,PTN HFC (Colossus),1,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
209,H&S CM 2IN1,PTN LB (Colossus),1,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
210,H&S CM 2IN1,PTN LC (Colossus),1,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
211,H&S CM 2IN1,PTN SSC/ DMR (Colossus),1,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
212,H&S CM 2IN1,PTN TDC (Colossus),1,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.6
213,PTN LB (Colossus),H&S SS 2IN1,1,kumar.a.34@pg.com,35:00.0,digitalbaddinews.im@pg.com,43:59.8
214,PTN LB (Colossus),H&S CM 2IN1,1,kumar.a.34@pg.com,35:00.0,digitalbaddinews.im@pg.com,43:59.8
215,H&S BC,H&S SS 2IN1,0,kumar.a.34@pg.com,38:00.0,digitalbaddinews.im@pg.com,43:59.8
216,H&S BC,H&S CM 2IN1,0,kumar.a.34@pg.com,38:00.0,digitalbaddinews.im@pg.com,43:59.8
217,PTN AD (Colossus),H&S SS 2IN1,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,43:59.8
218,PTN AD (Colossus),H&S CM 2IN1,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,43:59.9
219,PTN LC (Colossus),H&S SS 2IN1,0,kumar.a.34@pg.com,41:00.0,digitalbaddinews.im@pg.com,43:59.9
220,PTN LC (Colossus),H&S CM 2IN1,0,kumar.a.34@pg.com,41:00.0,digitalbaddinews.im@pg.com,43:59.9
221,PTN SSC/ DMR (Colossus),H&S SS 2IN1,0,kumar.a.34@pg.com,42:00.0,digitalbaddinews.im@pg.com,44:39.9
222,PTN SSC/ DMR (Colossus),H&S CM 2IN1,0,kumar.a.34@pg.com,42:00.0,digitalbaddinews.im@pg.com,44:40.0
223,PTN TDC (Colossus),H&S SS 2IN1,0,kumar.a.34@pg.com,44:00.0,digitalbaddinews.im@pg.com,44:40.0
224,PTN TDC (Colossus),H&S CM 2IN1,0,kumar.a.34@pg.com,44:00.0,digitalbaddinews.im@pg.com,44:40.0
225,H&S SS 2IN1,H&S AHF,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.4
226,H&S SS 2IN1,H&S BC,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
227,H&S SS 2IN1,H&S CBT/ Basic Cool,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
228,H&S SS 2IN1,H&S CM,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
229,H&S SS 2IN1,H&S CM 2IN1,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
230,H&S SS 2IN1,H&S DSC,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
231,H&S SS 2IN1,H&S LF,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
232,H&S SS 2IN1,H&S SB,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
233,H&S SS 2IN1,H&S SS,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
234,H&S SS 2IN1,H&S SS 2IN1,0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
235,H&S SS 2IN1,PTN AD (Colossus),0,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
236,H&S SS 2IN1,PTN HFC (Colossus),1,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
237,H&S SS 2IN1,PTN LB (Colossus),1,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.5
238,H&S SS 2IN1,PTN LC (Colossus),1,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.6
239,H&S SS 2IN1,PTN SSC/ DMR (Colossus),1,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.6
240,H&S SS 2IN1,PTN TDC (Colossus),1,kumar.a.34@pg.com,40:00.0,digitalbaddinews.im@pg.com,47:07.6
241,H&S CBT/ Basic Cool,H&S SS 2IN1,0,kumar.a.34@pg.com,46:00.0,digitalbaddinews.im@pg.com,47:42.6
242,H&S CBT/ Basic Cool,H&S CM 2IN1,0,kumar.a.34@pg.com,46:00.0,digitalbaddinews.im@pg.com,47:42.6
243,H&S CM,H&S SS 2IN1,0,kumar.a.34@pg.com,46:00.0,digitalbaddinews.im@pg.com,47:42.6
244,H&S CM,H&S CM 2IN1,0,kumar.a.34@pg.com,46:00.0,digitalbaddinews.im@pg.com,47:42.6
245,PTN HFC (Colossus),H&S SS 2IN1,0,kumar.a.34@pg.com,44:00.0,digitalbaddinews.im@pg.com,48:10.6
246,PTN HFC (Colossus),H&S CM 2IN1,0,kumar.a.34@pg.com,44:00.0,digitalbaddinews.im@pg.com,48:10.7
247,H&S CM 2IN1,H&S CM 2IN1,0,kumar.a.34@pg.com,47:00.0,digitalbaddinews.im@pg.com,48:28.8
248,H&S CM 2IN1,H&S SS 2IN1,0,kumar.a.34@pg.com,47:00.0,digitalbaddinews.im@pg.com,48:28.8
249,H&S LF,H&S CM 2IN1,0,kumar.a.34@pg.com,48:00.0,digitalbaddinews.im@pg.com,53:32.1
250,H&S LF,H&S SS 2IN1,0,kumar.a.34@pg.com,48:00.0,digitalbaddinews.im@pg.com,53:32.2
251,H&S AHF,H&S CM 2IN1,0,kumar.a.34@pg.com,49:00.0,digitalbaddinews.im@pg.com,53:32.2
252,H&S AHF,H&S SS 2IN1,0,kumar.a.34@pg.com,49:00.0,digitalbaddinews.im@pg.com,53:32.2
253,H&S DSC,H&S CM 2IN1,0,kumar.a.34@pg.com,50:00.0,digitalbaddinews.im@pg.com,53:32.2
254,H&S DSC,H&S SS 2IN1,0,kumar.a.34@pg.com,50:00.0,digitalbaddinews.im@pg.com,53:32.2
255,H&S SB,H&S CM 2IN1,0,kumar.a.34@pg.com,52:00.0,digitalbaddinews.im@pg.com,53:32.2
256,H&S SB,H&S SS 2IN1,1,kumar.a.34@pg.com,52:00.0,digitalbaddinews.im@pg.com,53:32.2
257,H&S SS,H&S SS 2IN1,0,kumar.a.34@pg.com,53:00.0,digitalbaddinews.im@pg.com,32:00.6
258,H&S SS,H&S CM 2IN1,0,kumar.a.34@pg.com,53:00.0,digitalbaddinews.im@pg.com,32:00.6
259,H&S SS 2IN1,H&S CM 2IN1,0,kumar.a.34@pg.com,54:00.0,digitalbaddinews.im@pg.com,32:00.6
260,H&S SS 2IN1,H&S SS 2IN1,0,kumar.a.34@pg.com,54:00.0,digitalbaddinews.im@pg.com,32:00.6
261,PTN NST,H&S AHF,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.5
262,PTN NST,H&S BC,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.5
263,PTN NST,H&S CBT/ Basic Cool,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.5
264,PTN NST,H&S CM,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.6
265,PTN NST,H&S CM 2IN1,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.6
266,PTN NST,H&S DSC,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.6
267,PTN NST,H&S LF,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.6
268,PTN NST,H&S SB,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.6
269,PTN NST,H&S SS,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
270,PTN NST,H&S SS 2IN1,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
271,PTN NST,PTN AD (Colossus),0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
272,PTN NST,PTN HFC (Colossus),0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
273,PTN NST,PTN LB (Colossus),0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
274,PTN NST,PTN LC (Colossus),1,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
275,PTN NST,PTN NST,0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
276,PTN NST,PTN SSC/ DMR (Colossus),0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
277,PTN NST,PTN TDC (Colossus),0,kumar.a.34@pg.com,08:00.0,sharma.b.10@pg.com,09:42.7
278,PTN LB (Colossus),PTN NST,1,System,40:55.6,NULL,NULL
279,PTN NST,PTN NST,0,System,40:55.9,NULL,NULL
280,H&S BC,PTN NST,1,System,40:56.2,NULL,NULL
281,PTN AD (Colossus),PTN NST,1,System,40:56.4,NULL,NULL
282,PTN LC (Colossus),PTN NST,0,System,40:56.6,NULL,NULL
283,PTN TDC (Colossus),PTN NST,0,System,40:56.8,NULL,NULL
284,PTN HFC (Colossus),PTN NST,0,System,40:57.4,NULL,NULL
285,PTN SSC/ DMR (Colossus),PTN NST,0,System,40:57.6,NULL,NULL
286,H&S CBT/ Basic Cool,PTN NST,1,System,40:57.8,NULL,NULL
287,H&S LF,PTN NST,1,System,40:58.1,NULL,NULL
288,H&S CM,PTN NST,1,System,40:58.3,NULL,NULL
289,H&S CM 2IN1,PTN NST,1,System,40:58.5,NULL,NULL
290,H&S SS,PTN NST,1,System,40:58.8,NULL,NULL
291,H&S SS 2IN1,PTN NST,1,System,40:59.1,NULL,NULL
292,H&S SB,PTN NST,1,System,40:59.3,NULL,NULL
293,H&S DSC,PTN NST,1,System,40:59.6,NULL,NULL
294,H&S AHF,PTN NST,1,System,40:59.9,NULL,NULL
295,H&S Basic Cool,PTN LB (Colossus),1,System,35:59.2,NULL,NULL
296,H&S Basic Cool,H&S BC,0,System,35:59.2,NULL,NULL
297,H&S Basic Cool,PTN AD (Colossus),0,System,35:59.2,NULL,NULL
298,H&S Basic Cool,PTN LC (Colossus),1,System,35:59.2,NULL,NULL
299,H&S Basic Cool,PTN SSC/ DMR (Colossus),1,System,35:59.2,NULL,NULL
300,H&S Basic Cool,PTN TDC (Colossus),1,System,35:59.2,NULL,NULL
301,H&S Basic Cool,PTN HFC (Colossus),1,System,35:59.2,NULL,NULL
302,H&S Basic Cool,H&S CBT/ Basic Cool,0,System,35:59.2,NULL,NULL
303,H&S Basic Cool,H&S LF,0,System,35:59.2,NULL,NULL
304,H&S Basic Cool,H&S CM,0,System,35:59.2,NULL,NULL
305,H&S Basic Cool,H&S SS,0,System,35:59.2,NULL,NULL
306,H&S Basic Cool,H&S SB,0,System,35:59.2,NULL,NULL
307,H&S Basic Cool,H&S DSC,0,System,35:59.2,NULL,NULL
